procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0 2142168 114753600 5533904 120355120    1    1     4     4    0    0  1  1 98  0  0
14  0 2142168 114550552 5533904 120354960    0    0     0 21796 6650 2135 30  3 67  0  0
 6  0 2142168 114467536 5533904 120356832    0    0     0   104 2768 1513 11  1 88  0  0
22  0 2142168 114363168 5533904 120355392    0    0     0     0 5741 1728 30  2 69  0  0
24  0 2142168 114237552 5533904 120354880    0    0     0     0 7625 2459 36  3 61  0  0
22  0 2142168 114194288 5533904 120355056    0    0     0     0 7264 2020 37  2 61  0  0
22  0 2142168 114098176 5533904 120354912    0    0     0     0 7184 2559 36  2 62  0  0
23  0 2142168 113973664 5533904 120354992    0    0     0   108 7344 2429 36  2 62  0  0
20  0 2142168 113872720 5533904 120354936    0    0     0     0 7267 2393 35  2 63  0  0
23  0 2142168 113820056 5533904 120355168    0    0     0     0 7318 2486 36  2 62  0  0
13  0 2142168 113831448 5533904 120355920    0    0     0     0 6435 2027 30  2 68  0  0
 7  0 2142168 113737104 5533904 120356128    0    0     0     0 3961 2456 13  1 86  0  0
 3  0 2142168 119627792 5533904 120358992    0    0     0   192 4490 2999  5  3 91  0  0
