procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  0 2142168 114655888 5533900 120315344    1    1     4     4    0    0  1  1 98  0  0
22  0 2142168 114655752 5533900 120314680    0    0     0    28 7141 2195 38  1 61  0  0
22  0 2142168 114463752 5533900 120314656    0    0     0     0 6852 1273 39  1 60  0  0
19  0 2142168 114306416 5533900 120314384    0    0     0     0 6792 2075 36  1 64  0  0
18  0 2142168 114276664 5533900 120314384    0    0     0     0 6841 2387 33  1 66  0  0
13  0 2142168 114156480 5533904 120314760    0    0     0   220 5826 2123 27  1 71  0  0
11  0 2142168 114111520 5533904 120314928    0    0     0   412 5030 2528 20  1 79  0  0
 3  0 2142168 113915344 5533904 120314936    0    0     0     0 3824 1916 14  1 85  0  0
20  0 2142168 113910216 5533904 120317600    0    0     0     0 3975 2432 14  1 85  0  0
19  0 2142168 113924832 5533904 120317024    0    0     0     0 6710 1996 35  1 65  0  0
20  0 2142168 113984080 5533904 120316816    0    0     0   124 7244 2341 35  1 64  0  0
19  0 2142168 113921416 5533904 120317200    0    0     0    20 6821 2036 34  1 64  0  0
20  0 2142168 113832976 5533904 120317696    0    0     0     0 6916 2240 34  1 65  0  0
21  0 2142168 113716536 5533904 120317760    0    0     0     0 7160 2152 36  1 63  0  0
20  0 2142168 113633360 5533904 120317760    0    0     0     0 7009 1982 36  1 63  0  0
18  0 2142168 113579152 5533904 120317688    0    0     0     0 6478 2304 32  1 67  0  0
18  0 2142168 113684704 5533904 120317760    0    0     0   112 6588 2058 32  1 68  0  0
20  0 2142168 113523128 5533904 120317888    0    0     0     0 6049 1852 31  1 68  0  0
35  0 2142168 112663536 5533904 120317680    0    0     0     0 9213 1960 53  2 45  0  0
36  0 2142168 111068152 5533904 120317664    0    0     0     0 10625 2084 62  3 36  0  0
23  0 2142168 110248944 5533904 120317376    0    0     0     0 9762 1942 56  2 43  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0 2142168 110193616 5533904 120318096    0    0     0    76 7696 2045 41  1 57  0  0
35  0 2142168 110116512 5533904 120318016    0    0     0     0 10299 1766 62  2 37  0  0
34  0 2142168 110014688 5533904 120318176    0    0     0     0 9876 1852 61  1 38  0  0
16  0 2142168 110001424 5533904 120318624    0    0     0     0 6634 1520 37  1 62  0  0
30  0 2142168 110090368 5533904 120318224    0    0     0     0 9234 1761 55  1 44  0  0
27  0 2142168 110029384 5533904 120318224    0    0     0    84 8584 1398 51  1 48  0  0
11  0 2142168 109966384 5533904 120318160    0    0     0     0 5637 1273 30  1 69  0  0
 7  0 2142168 109942048 5533904 120318112    0    0     0     0 3522 1315 16  0 84  0  0
 6  0 2142168 109904576 5533904 120318240    0    0     0     0 5047 1519 26  1 73  0  0
25  0 2142168 109889760 5533904 120317912    0    0     0     0 6907 1321 40  1 59  0  0
 7  0 2142168 114385448 5533904 120319472    0    0     0  2092 6341 1844 25  3 72  0  0
